wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
532.125,13066,13456,11068,23680,15804,16662,26090,17380,8890,15368,15926,22550,27446,14170,16344,28468,13312,14348,23576,6734,26842,10426
533.874,13012,13376,11114,23534,15844,16432,26030,17314,8866,15368,16102,22776,27664,14194,16198,28360,13262,14424,23564,6764,26738,10326
535.624,13096,13346,11010,23638,15800,16526,26038,17312,9008,15318,16040,22834,27542,14122,16268,28480,13230,14378,23610,6708,26780,10282
537.372,12962,13402,11138,23246,15664,16644,26026,17354,8918,15464,16004,22650,27626,14250,16156,28312,13428,14430,23780,6748,27030,10448
539.122,13092,13524,10920,23344,15854,16480,26202,17372,8890,15464,16146,22710,27506,14230,16166,28654,13134,14440,23624,6626,27084,10452
540.869,13172,13418,11048,23132,15726,16458,26176,17308,8822,15400,16148,22764,27558,14380,16138,28612,13072,14484,23884,6706,26998,10438
542.618,13102,13478,11056,22934,15862,16564,26056,17366,8768,15534,16080,22916,27638,14240,16158,28554,13182,14428,23624,6680,26848,10474
544.364,13048,13574,11154,22700,16056,16768,26250,17582,8844,15496,15986,22834,27752,14166,16290,28590,13386,14502,23610,6758,27118,10266
546.112,13362,13506,11118,22852,15890,16586,26392,17482,8952,15388,16238,22888,27492,14086,16200,28572,13220,14462,23858,6692,27188,10490
547.858,13108,13508,11102,22542,15790,16528,26144,17340,9022,15458,16212,22796,27718,14256,16342,28712,13216,14588,23856,6806,27008,10490
549.606,13176,13502,11012,22332,15910,16510,26290,17546,8902,15536,16096,22874,27656,14314,16248,28738,13228,14558,23784,6722,27060,10488
551.351,13156,13552,11020,22394,15808,16536,26480,17466,8952,15496,16174,22762,27708,14518,16374,28910,13346,14520,23840,6690,27204,10544
553.096,13156,13556,11096,22184,15924,16822,26452,17456,8956,15580,16272,22874,27854,14238,16386,28698,13260,14616,23700,6730,27164,10408
554.842,13118,13428,11076,22008,16124,16552,26266,17584,8878,15588,16084,23178,27772,14412,16346,28898,13290,14480,23962,6712,27078,10592
556.586,13142,13628,11058,21838,16024,16896,26522,17522,9008,15542,16124,23120,27866,14330,16398,28764,13290,14746,24000,6800,27314,10452
558.332,13328,13704,11156,21984,16158,16616,26544,17528,9064,15674,16240,23176,27906,14516,16392,28862,13432,14600,24058,6788,27362,10584
560.076,13068,13676,11068,21768,16064,16622,26540,17588,8856,15504,16322,22958,28078,14462,16498,28954,13350,14680,24140,6828,27360,10514
561.819,13298,13616,11190,21578,16150,16890,26448,17614,9002,15740,16160,22996,28058,14518,16296,29014,13498,14882,24326,6826,27284,10544
563.563,13270,13626,11158,21476,16136,16824,26834,17672,9014,15770,16288,22866,27988,14568,16534,29048,13454,14746,24172,6748,27470,10608
565.306,13292,13740,11072,21290,16176,16800,26584,17714,9002,15894,16384,23170,28166,14518,16586,28934,13504,14770,24120,6788,27280,10618
567.048,13396,13740,11198,21284,16136,16810,26602,17906,9062,15840,16160,23080,28310,14578,16586,29216,13412,14760,24262,6802,27442,10782
568.792,13490,13816,11108,21214,16164,16990,26612,17770,8994,15934.4,16276,23198,28158,14672,16460,29146,13516,14686,24162,6850,27726,10612
570.533,13282,13850,11384,21230,16088,16912,26698,17882,9084,16256,16496,23418,28416,14578,16476,29294,13598,14696,24372,6878,27552,10704
572.275,13406,13826,11114,21216,16386,16924,26854,17804,9114,15912,16504,23310,28172,14554,16670,29188,13406,14818,24204,6844,27494,10614
574.017,13404,13830,11208,20878,16242,16906,26904,17798,9182,15892,16468,23374,28308,14570,16790,29186,13700,14668,24410,6904,27794,10694
575.758,13348,13714,11240,20700,16276,17096,26944,17788,9010,15984,16446,23272,28390,14742,16538,29174,13506,14796,24408,6854,27844,10584
577.498,13436,13740,11276,20712,16308,16990,26778,17786,9034,16022,16388,23228,28298,14486,16564,29436,13656,14792,24294,6804,27562,10636
579.24,13460,13798,11218,20676,16386,16992,27106,17934,9200,15958,16418,23398,28290,14564,16678,29278,13486,14910,24438,6822,27718,10710
580.979,13482,13782,11258,20334,16280,17188,26818,17874,9086,16000,16380,23382,28368,14654,16624,29458,13464,14896,24446,6896,27750,10626
582.719,13386,13736,11216,20372,16322,16948,26966,17860,9030,16040,16532,23406,28470,14644,16552,29382,13604,14878,24492,6854,27756,10624
584.459,13416,13932,11258,20378,16330,17126,27016,17834,9254,16022,16452,23264,28276,14560,16712,29444,13526,15014,24520,6880,27834,10670
586.198,13356,13672,11174,20284,16322,17016,27088,17994,9158,16070,16482,23570,28656,14636,16730,29328,13730,14824,24492,6830,27868,10638
587.936,13534,13884,11306,20306,16178,16974,27038,17912,9034,15908,16566,23474,28544,14740,16574,29458,13748,14900,24534,6820,27806,10728
589.676,13426,13824,11112,20206,16278,17050,26920,18024,9166,15952,16430,23440,28578,14706,16668,29560,13648,14934,24666,6924,27782,10628
591.413,13538,13820,11162,20154,16388,17176,27014,18112,9040,16010,16368,23414,28402,14668,16742,29474,13792,14938,24660,6910,27928,10716
593.151,13584,13866,11308,19984,16336,17002,27146,18004,9140,15906,16500,23606,28372,14844,16698,29466,13644,14820,24704,6840,27896,10632
594.887,13432,13852,11210,19862,16280,16984,27002,18108,9038,16050,16276,23644,28534,14550,16610,29478,13708,14868,24276,6902,27844,10630
